,Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag,Factories,Chemicals,Carcinogen,On-Site_Release_Total,Total_Release,Latitude,Longitude,Factory_1_lat,Factory_1_lon,Factory_2_lat,Factory_2_lon,Factory_3_lat,Factory_3_lon,Factory_4_lat,Factory_4_lon,Factory_5_lat,Factory_5_lon,Factory_6_lat,Factory_6_lon,Factory_7_lat,Factory_7_lon,Factory_8_lat,Factory_8_lon,Factory_9_lat,Factory_9_lon,Factory_10_lat,Factory_10_lon,Factory_11_lat,Factory_11_lon,Factory_12_lat,Factory_12_lon,Factory_13_lat,Factory_13_lon,Factory_14_lat,Factory_14_lon,Factory_15_lat,Factory_15_lon,Factory_16_lat,Factory_16_lon,Factory_17_lat,Factory_17_lon,Factory_18_lat,Factory_18_lon,Factory_19_lat,Factory_19_lon,Factory_20_lat,Factory_20_lon,Factory_21_lat,Factory_21_lon,Factory_22_lat,Factory_22_lon,Factory_23_lat,Factory_23_lon,Factory_24_lat,Factory_24_lon,Factory_25_lat,Factory_25_lon,Factory_26_lat,Factory_26_lon,Factory_27_lat,Factory_27_lon,Factory_28_lat,Factory_28_lon,Factory_29_lat,Factory_29_lon,Factory_30_lat,Factory_30_lon,Factory_31_lat,Factory_31_lon,Factory_32_lat,Factory_32_lon,Factory_33_lat,Factory_33_lon,Factory_34_lat,Factory_34_lon,Factory_35_lat,Factory_35_lon,Factory_36_lat,Factory_36_lon,Factory_37_lat,Factory_37_lon,Factory_38_lat,Factory_38_lon,Factory_39_lat,Factory_39_lon,Factory_40_lat,Factory_40_lon,Factory_41_lat,Factory_41_lon,Factory_42_lat,Factory_42_lon,Factory_43_lat,Factory_43_lon,Factory_44_lat,Factory_44_lon,Factory_45_lat,Factory_45_lon,Factory_46_lat,Factory_46_lon,Factory_47_lat,Factory_47_lon,Factory_48_lat,Factory_48_lon
51,6001405402,6,1,405402,76.0,2.4383,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,6001405500,6,1,405500,78.7,2.5516,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6001405600,6,1,405600,78.2,1.7080000000000002,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6001405700,6,1,405700,76.4,1.2541,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6001405800,6,1,405800,76.6,1.7146,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6001405901,6,1,405901,77.9,2.1514,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6001405902,6,1,405902,77.7,2.2091,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6001406000,6,1,406000,77.9,1.5139,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6001406100,6,1,406100,76.2,1.4586,3,3,"  COPPER, LEAD, LEAD COMPOUNDS,",NO,7.005,29.008,37.773132,-122.2355493,37.77176,-122.21691000000001,37.77176,-122.21691000000001,37.77276,-122.23583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6001406201,6,1,406201,75.3,1.8887,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6001406202,6,1,406202,77.4,2.0795,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6001406300,6,1,406300,82.3,2.647,1,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6001406400,6,1,406400,72.5,1.8017,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6001406500,6,1,406500,81.1,2.2302,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6001406601,6,1,406601,77.9,1.1891,2,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6001406602,6,1,406602,80.4,3.0769,3,0, , ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
