"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
06013308002,06,013,308002,77.3,1.4281,3
06013309000,06,013,309000,78,2.0189,3
06013310000,06,013,310000,79.6,2.1773,1
06013311000,06,013,311000,76.6,1.6513,3
06013312000,06,013,312000,71.6,2.0828,3
06013313101,06,013,313101,79.6,1.5784,3
06013313102,06,013,313102,77.4,2.151,3
06013313103,06,013,313103,77.8,1.2131,3
06013313203,06,013,313203,81.6,3.0618,3
06013313204,06,013,313204,79.5,1.5075,3
06013313205,06,013,313205,80.9,1.8657,2
06013313206,06,013,313206,78.1,2.454,1
06013314102,06,013,314102,78.7,2.1192,1
06013314103,06,013,314103,77.5,1.2266,3
06013314104,06,013,314104,77.1,1.9329,1
06013314200,06,013,314200,77.9,1.7608,3
06013315000,06,013,315000,78.7,2.0422,3
06013317000,06,013,317000,76.2,2.1981,3
06013318000,06,013,318000,76.9,1.4308,3
06013319000,06,013,319000,78.2,0.9495,3
06013320001,06,013,320001,79.4,1.4584,3
06013320003,06,013,320003,81.5,1.9432,2
06013320004,06,013,320004,81.8,1.7197,3
06013321101,06,013,321101,80,1.4229,3
06013321102,06,013,321102,81.9,1.2578,3
06013321103,06,013,321103,84.5,1.7151,3
06013321200,06,013,321200,83.9,2.9616,3
06013322000,06,013,322000,82.8,1.4414,3
06013323000,06,013,323000,82,1.6006,3
06013324001,06,013,324001,86.1,3.8982,3
06013324002,06,013,324002,80.3,1.3785,3
06013325000,06,013,325000,78.9,1.3568,3
06013326000,06,013,326000,82.5,1.423,3
06013327000,06,013,327000,76.8,1.2161,3
06013328000,06,013,328000,78.3,2.3215,3
06013329000,06,013,329000,80.2,1.6695,3
06013330000,06,013,330000,80.6,1.3874,3
06013331000,06,013,331000,78.7,1.2534,3
06013332000,06,013,332000,81,1.3532,1
06013333101,06,013,333101,86.2,3.3761,3
06013333102,06,013,333102,80.9,1.8841,3
06013333200,06,013,333200,79.7,1.5673,3
06013334001,06,013,334001,73.2,1.1407,3
06013334004,06,013,334004,79.7,1.0698,3
06013334006,06,013,334006,84.1,1.9791,3
06013334200,06,013,334200,83,0.9005,3
06013335000,06,013,335000,80.2,1.7905,3
06013336101,06,013,336101,77.1,2.7427,2
06013336102,06,013,336102,77.1,2.3782,3
06013336201,06,013,336201,79.4,1.5248,3
06013336202,06,013,336202,75.8,3.9477,3
06013337100,06,013,337100,82.4,1.7469,3
06013337200,06,013,337200,79.1,1.1027,3
06013337300,06,013,337300,84,1.7293,3
06013338101,06,013,338101,78.2,1.6781,3
06013338102,06,013,338102,82.1,1.7628,3
06013338201,06,013,338201,80.8,1.6048,3
06013338203,06,013,338203,84.7,3.1541,3
06013338204,06,013,338204,85.2,1.8649,3
06013338301,06,013,338301,82.6,2.0821,3
06013338302,06,013,338302,85.7,1.5196,3
06013339001,06,013,339001,79.9,2.3915,3
06013339002,06,013,339002,86.8,2.3718,3
06013340001,06,013,340001,80.5,1.1443,3
06013340002,06,013,340002,82.1,1.1259,2
06013341000,06,013,341000,81.1,1.1857,3
06013343001,06,013,343001,85,1.9986,3
06013343002,06,013,343002,82.1,1.1141,3
06013343003,06,013,343003,83,1.8869,3
06013345101,06,013,345101,82.6,1.9219,3
06013345102,06,013,345102,80.8,1.2783,3
06013345103,06,013,345103,82.9,1.5937,3
06013345105,06,013,345105,88.3,3.2431,3
06013345111,06,013,345111,83.4,2.0763,3
06013345113,06,013,345113,86.4,3.1682,3
06013345114,06,013,345114,84.7,1.5539,3
06013345115,06,013,345115,88,3.6346,3
06013345116,06,013,345116,83.5,2.6093,3
06013345202,06,013,345202,87.8,2.5871,3
06013345203,06,013,345203,85.4,1.6234,3
06013345204,06,013,345204,84.1,3.7076,3
06013346101,06,013,346101,83.5,1.7381,3
06013346102,06,013,346102,84.5,1.4757,3
06013346201,06,013,346201,84,3.8099,3
06013346203,06,013,346203,82.3,1.6364,3
06013346204,06,013,346204,81.3,1.8326,3
06013347000,06,013,347000,86.3,2.3846,3
06013348000,06,013,348000,84.2,1.8114,3
06013349000,06,013,349000,85.3,1.6658,3
06013350000,06,013,350000,87,3.1814,3
06013351200,06,013,351200,83.3,1.8055,3
06013352101,06,013,352101,83.5,1.9822,3
06013352102,06,013,352102,86.3,1.6141,3
06013352201,06,013,352201,85.8,3.2017,3
06013353001,06,013,353001,86.9,2.0253,3
06013353002,06,013,353002,86.9,1.583,3
06013354001,06,013,354001,81.1,1.0157,2
06013354002,06,013,354002,88.4,1.6438,3
06013355107,06,013,355107,77.7,1.0701,3
